timestamp,Process.Rocksdb.L0.CommitSuccess,Process.Rocksdb.Compaction.MovedTo.L1,Exception.UpstreamServer.Connect,Exception.Cephx.CouldNotFindEntity,Process.Rocksdb.Compaction.Start2,Process.Rocksdb.Compaction.Interval,Report.Cluster.NewLeader,Process.Rocksdb.Compaction.L1,Process.Start.Request,Process.Rocksdb.Compaction.L2,Process.CheckSub.SendingToClient,Process.Scrub.Ok,Process.Rocksdb.GeneratTable,Process.Rocksdb.Compaction.OK,Report.Connection.Accept,Warn.Paxos.Recovering,Report.OsdPool.Enable,Process.Rocksdb.Compaction.Manual,Warn.UpstreamServer.TempDisabled,Process.Rocksdb.Compaction.Start,Process.Mon.Rank,Process.MDSStandby.Replay.Done,Process.Rocksdb.TableFileCreate,Process.Rocksdb.Delete.WAL,Process.Paxosservice.Upgraded,Process.Rocksdb.Compaction.MovingTo.L1,Warn.SlowRequest.Client,Process.Rocksdb.StopWrite.WaitFlush,Process.Rocksdb.Compaction.SyncingLog,Process.Rocksdb.Compaction.FlushMemToFile,Process.Rocksdb.L0.FlushStart,Report.Request.Done,Report.Server.ToStandby,Report.Rocksdb.Compaction.Finished,Process.Rocksdb.MemTable.Created
1530550080,2,,3,,,,,,24,,15,,,,,,,,3,,,35,1,1,,,,,,1,2,,,,1
1530550140,8,,3,,,,,,24,,16,,,,,,,,3,,,14,4,4,,,,,,4,8,,,,4
1530550200,28,2,3,,12,8,,12,24,12,14,,26,12,,,,34,3,12,,11,40,14,,2,,,9,14,28,,,12,14
1530550260,6,,3,,,,,,24,,15,,,,,,,,3,,,26,3,3,,,,,,3,6,,,,3
1530550320,12,,3,,10,2,,10,24,10,16,,20,10,,,,20,3,10,,20,26,6,,,,,5,6,12,,,10,6
1530550380,8,,3,,,,,,24,,16,,,,,,,,3,,,15,4,4,,,,,,4,8,,,,4
1530550440,10,,3,,,,,,24,,16,,,,,,,,3,,,19,5,5,,,,,,5,10,,,,5
1530550500,,,3,,,,,,24,,15,,,,,,,,3,,,18,,,,,,,,,,,,,
1530550560,10,,3,,,,,,24,,15,,,,,,,,3,,,20,5,5,,,,,,5,10,,,,5
1530550620,18,,3,,14,,,14,24,14,15,,38,14,,,,20,3,14,,24,47,9,,,,,5,9,18,,,14,9
1530550680,20,8,3,,8,,,8,24,8,14,,32,8,,,,36,3,8,,17,42,10,,8,,,10,10,20,,,8,10
1530550740,16,4,3,,8,,,8,24,8,14,,20,8,,,,32,3,8,,12,28,8,,4,,,8,8,16,,,8,8
1530550800,8,,3,,,,,,24,,16,,,,,,,,3,,,14,4,4,,,,,,4,8,,,,4
1530550860,10,,3,,,,,,24,,18,,,,,,,,3,,,32,5,5,,,,,,5,10,,,,5
1530550920,2,,3,,,,,,24,,16,,,,,,,,3,,,20,1,1,,,,,,1,2,,,,1
1530550980,18,,3,,12,10,,12,24,12,15,,27,12,,,,20,3,12,,16,36,9,,,,,5,9,18,,,12,9
